ID	Name	Desc
94	Gelandangan Gobi	[NAME] lahir di sebuah kota di Gurun Gobi. Saat kecil, badai pasir besar melanda kota. [IT] mengikuti beberapa orang yang selamat saat mereka berkeliaran. \nBeberapa tahun perjalanan membuat kehidupan dan kematian serta kepahitan keberadaan manusia menjadi pemandangan yang biasa sehingga [IT] kehilangan harapan terhadap dunia.
95	Satu dengan Air	[NAME] lahir di daerah di sebelah selatan Sungai Yangtze yang banyak terdapat sungai dan danau. Kampung halaman [NAME] terletak di salah satu sungai ini. Rumah-rumah tersebut dihubungkan oleh saluran air dan hal ini memberikan keunikan pada adat istiadat masyarakat yang tinggal di dalamnya. Keluarga \n[NAME] mengelola toko kelontong. [NAME] akan naik perahu keliling kota mencoba menjajakan dagangan toko.
96	Pemuda Gunung	[NAME] lahir di sebuah gunung besar dan berkeliling bersama kakak laki-laki [ITS]. \nYang paling disukai [NAME] adalah pergi keluar mencari jamur setelah hujan, dan anak itu selalu menemukan lebih dari apa yang kakak [ITS] nikmati.
97	Jenderal Muda	[NAME] adalah seorang jenderal muda Tentara Api Merah dan memiliki kecakapan militer yang luar biasa sejak usia muda. \nSayangnya seluruh pasukan tewas secara ironis dalam kebakaran. [IT] berhasil lolos, tetapi akhirnya diracuni.
98	Kehidupan Kesalehan	Ibu [NAME] mengalami komplikasi saat melahirkan dan meninggal dunia. Segera setelah [NAME] lahir, ada aroma misterius yang melimpah dan, meskipun saat itu musim semi, semua bunga di kota itu layu tanpa sebab. \nKarena konstitusi [NAME] unik, hantu dan monster mudah tertarik. [NAME] pernah bertemu dengan seorang biksu ketika masih muda yang memberi [ENHIM] beberapa manik Buddha dan jubah hitam untuk dibawa ke mana pun [NAME] pergi. Akhirnya [NAME] merasakan kedamaian.
99	Jika Fuoscrato	Ayah [NAME] adalah ahli dalam keluarga, namun dalam sebuah pertandingan penting, dia berkorban untuk keluarga dan akhirnya menjadi cacat. Sang ayah kemudian menaruh semua harapannya di pundak anaknya. Sayangnya, bakat [NAME] rata-rata sehingga kemajuannya lambat. \nSelama Petualangan yang Tak Sengaja, [NAME] menemukan jimat batu di genangan air misterius. Dengan bantuan jimat, Budidaya [ITS] tumbuh dengan pesat dan [NAME] menjadi jenius dalam keluarga.
100	Karunia Ilahi	Bakat alami __NAMA__ tampak tak terbatas dan pada usia delapan tahun, kekuatan [ITS] sudah sebanding dengan orang dewasa. Anak itu bisa menggunakan gada besi dan memindahkan batu-batu besar. \n[NAME] mengharumkan nama [ITS] namun berlatih lebih keras lagi meskipun kekuatan [ITS] jauh melampaui rekan-rekan [ITS].
501	Prajurit Bercerita	Kemampuan seni bela diri [NAME] sangat mengesankan sehingga di kalangan rakyat jelata, dia adalah sosok yang sangat hebat. Suatu saat dalam sebuah pertempuran, [NAME] memiliki bekas luka yang panjang dan sempit di wajah [ITS] yang membuat wajah ini terlihat sangat kejam.
502	Pendekar pedang	Kemampuan seni bela diri [NAME] sangat mengesankan sehingga di kalangan rakyat jelata, dia adalah sosok yang sangat hebat. Saat berkeliling daratan, rekan [ITS] mencoba menyelamatkan [NAME] dan tewas dalam prosesnya. [NAME] sangat kecewa dengan hal ini dan meninggalkan dunia kesatria.
503	Pensiunan Pengawal	[NAME] adalah pengawal sampai mengambil anak panah ke lutut sambil menjaga sasaran.
504	Budak Jahat Tuan Tanah	[NAME] adalah budak jahat dari tuan tanah. Bertahun-tahun menindas yang lemah dan takut pada yang kuat membuat [NAME] memahami pentingnya menghadapi situasi terlebih dahulu. \nNamun pada akhirnya ada suatu saat [NAME] melawan orang yang salah sehingga harus hidup dalam pelarian.
505	Tukang daging	[NAME] dulunya adalah seorang tukang daging yang menyembelih segala jenis hewan untuk mencari nafkah. Kehidupan yang sulit membuat [NAME] memiliki fisik yang kuat. Penyembelihan yang bertahun-tahun juga membuat [NAME] menjadi terbiasa dengan bau darah dan kematian.
506	Petani	[NAME] adalah seorang petani dan terbiasa melakukan kerja paksa. Namun kerja keras seperti itu berdampak buruk pada tubuh dan pikiran.
507	Tukang	[NAME] terbiasa membuat karya seni dan mencari nafkah. Sebagai hasil dari pekerjaan yang terlibat [NAME] memiliki ketangkasan yang luar biasa.
508	Bandit	[NAME] dipaksa oleh kehidupan untuk menjadi bandit dan menjalani kehidupan yang mengeraskan hati siapa pun yang mengikutinya. Namun, gaya hidup seperti ini juga berdampak buruk pada [ENHIM]. [IT] kehilangan lengannya satu kali untuk memungkinkan [ENHIM] lolos dari penangkapan petugas.
509	Pengintai Kedai Teh	[NAME] adalah seorang pengintai di kedai teh. Kehidupan di bawah membuat [ENHIM] menjadi cukup akrab dengan cara menyenangkan orang lain. Lingkungan seperti ini juga menanamkan keterampilan memasak pada seseorang.
510	Pendongeng	[NAME] mewarisi warisan seorang pendongeng dan menceritakan kisah [ITS] sebagai berikut: Seekor keledai berkeliaran, bercerita untuk mencari nafkah.
511	Sarjana Terbaik	[NAME] pernah menjadi juara ujian kekaisaran dan tingkat budaya [ITS] dinilai cukup tinggi. Namun, [IT] mencintai pertanian sehingga meninggalkan jabatan [ITS] sebagai pejabat dan menghilang ke ladang.
512	Pemimpin Relawan	[NAME] pernah menjadi pemimpin pasukan sukarelawan yang berjuang untuk menggulingkan negara-negara korup. Namun pada akhirnya prajurit [ITS] bubar karena terjadi pertikaian.
513	Prajurit Relawan	[NAME] pernah menjadi prajurit di pasukan sukarelawan. Kehidupan di militer meninggalkan [ENHIM] dengan fisik yang mengesankan. Keyakinan revolusioner mengeraskan kemauan [ITS].
514	Pemimpin Pemberontak	[NAME] pernah menjadi pemimpin pemberontak, dan mahir dalam memerintah. Sebagai pemimpin, [NAME] kejam dan dingin dan memimpin pasukan [ITS] untuk menjarah, membakar, menjarah, dan melawan tentara kekaisaran. Selama pertempuran, pasukan [ITS] dikepung dan [NAME] adalah satu-satunya yang melarikan diri hidup-hidup.
515	Prajurit Pemberontak	[NAME] bergabung dengan tentara pemberontak karena ketidakpuasan terhadap pajak yang tinggi. Namun [NAME] tidak dapat menahan penjarahan dan penjarahan yang dilakukan oleh tentara pemberontak. Suatu malam, [NAME] membunuh rekan prajuritnya setelah semalaman mereka melakukan perbuatan yang tidak terkatakan dan kemudian melarikan diri.
516	Buronan	[NAME] adalah seorang tahanan yang melarikan diri dan beberapa tahun dalam pelarian telah membuat saraf [ITS] sensitif dan gelisah. Hal ini membuat [ENHIM] cenderung meledak dalam emosi yang intens.
517	Tukang daging	[NAME] adalah algojo yang mengeksekusi orang yang dijatuhi hukuman mati. Banyaknya darah di tangan [ITS] membuat jantungnya seperti balok es.
518	Pesuruh Sekte Jahat	[NAME] adalah antek sekte jahat yang bertanggung jawab menjaga kontak dan bisnis sekte tersebut. Walaupun [NAME] belum diajari Budidaya secara formal, namun telah menyerap sebagian ilmu dari pengalaman [ITS].
519	Dokter Rumah Sakit	__NAMA__ adalah seorang dokter rumah sakit dan walaupun kemampuan [ITS] bukan yang terbaik, namun penyakit biasa tidak menjadi masalah.
520	Medis	[NAME] adalah seorang petugas medis di ketentaraan. Kemampuan [ITS] sangat mengesankan dan menghabiskan begitu banyak waktu dengan tentara telah menanamkan kemauan prajurit di [ENHIM].
521	Penyembuh Bepergian	[NAME] adalah seorang tabib keliling yang dikenal di seluruh negeri. [NAME] menyukai pengobatan dan menganggap penyembuhan orang sakit dan terluka sebagai tanggung jawab pribadinya. Perjalanan [NAME] memaparkan [ENHIM] pada banyak hal dan membantu mengasah keterampilan medis [ITS].
522	Dokter hewan	[NAME] adalah seorang dokter hewan dan, meskipun juga dapat menyembuhkan orang, kemampuan penyembuhan [ITS] tidak mampu melakukan tugas yang canggih.
523	Porter Pelabuhan	[NAME] adalah seorang portir di sebuah pelabuhan. Pekerjaan berat seperti ini membangun fisik yang kuat dan tubuh yang besar. Hal ini juga berdampak buruk pada tubuh [ITS].
524	Porter Gunung	[NAME] adalah seorang porter gunung. Pekerjaan berat seperti ini membangun fisik yang kuat dan tubuh yang besar. Sering bepergian naik dan turun gunung juga memberikan rasa keseimbangan yang baik. Hal ini juga berdampak buruk pada tubuh [ITS].
525	Instruktur Dojo	[NAME] adalah seorang instruktur di dojo. Kemampuan __NAMA__ tidak buruk sehingga reputasi [ITS] terkenal di daerah tersebut. \nSayangnya, secara tidak sengaja menyambar dada murid kiri [ENHIM] tanpa harta benda dan tanpa identitas.
526	Guru Privat	[NAME] adalah seorang guru privat yang memiliki prestasi akademis yang mengesankan, namun [NAME] terlalu ketat dan tradisional sehingga siswa cenderung tidak menyukai [ENHIM]. [NAME] memergoki seorang bangsawan berbuat curang saat ujian kekaisaran. Bangsawan itu mematahkan kaki [ITS] sebagai balasannya.
527	Pemburu Gunung	[NAME] adalah pemburu gunung yang kuat dan bertenaga serta mahir dalam menjebak. [NAME] memiliki anjing setia di sisi [ITS].
528	Pemburu Arktik	[NAME] adalah pemburu yang terbiasa dengan iklim Arktik. Tubuh [NAME] berkembang dengan sangat baik dan karena ia terbiasa berlari tanpa baju di padang salju, maka dingin bukanlah sesuatu yang [IT] takuti.
529	Pemburu Nomaden	[NAME] adalah pemburu nomaden dari padang rumput yang tinggal di hutan belantara sepanjang tahun, akibatnya [NAME] tidak bisa tidur nyenyak.
530	Pemburu Kekaisaran	[NAME] adalah pemburu kekaisaran yang bertanggung jawab mengajari anak-anak kaisar berburu. Keterampilan [NAME] sangat unggul dan sering dibicarakan, namun [NAME] menyadari bahwa tinggal di rumah kekaisaran telah menanamkan kebutuhan yang kuat untuk memakai bulu.
531	Pencari jodoh	[NAME] mahir berbicara dan suka bergosip. [NAME] adalah seorang mak comblang terkenal yang dikatakan hebat dalam menemukan jodoh yang akan bertahan seumur hidup.
532	Asisten Jenderal	[NAME] adalah asisten jenderal yang melakukan perjalanan dengan tentara dan meskipun yang satu ini bukan yang paling banyak akal, kehati-hatian [ITS] telah membantu melemahkan penyergapan dan strategi musuh lebih dari beberapa kali. Hal ini telah memberi [ENHIM] rasa kepuasan diri.
533	Polisi	[NAME] adalah polisi yang bertanggung jawab melacak penjahat. [NAME] telah melacak banyak hal selama bertahun-tahun dan memiliki luka untuk membuktikannya.
534	Peramal	[NAME] mengintai di jalanan sambil meramal nasib. [NAME] tidak memiliki keahlian berbicara apa pun selain kemampuan berbicara tanpa henti. Bertahun-tahun di jalanan telah membuat [ENHIM] terlihat seperti elang dan menjadi sangat mahir dalam menggambarkan situasi sebagaimana adanya.
535	Artis	[NAME] adalah pengrajin tinta dan kuas yang ahli dalam lanskap dan potret. [NAME] memiliki toko seni di kampung halamannya di mana toko ini menghasilkan lukisan untuk pemakaman dan pernikahan.
536	Juru Masak Tentara	[NAME] adalah koki yang bepergian bersama tentara. [IT] digunakan untuk memasak makanan dalam jumlah besar yang meskipun belum tentu mendapat pujian karena rasanya, tetapi banyak makanan pasti bisa dimasak dalam sekejap.
537	tangan stabil	[NAME] mencari nafkah dengan memelihara kuda. [NAME] bertanggung jawab merawat beberapa ratus kuda setiap hari. \nPengulangan tugas yang sama setiap hari telah melelahkan [ENHIM] yang sering melamun tentang novel sambil memberi makan kuda.
538	penggembala	[NAME] adalah anggota suku yang tinggal di padang rumput. [NAME] selalu memiliki penglihatan yang baik, itulah sebabnya dia bertanggung jawab atas kawanan sukunya. \nMerawat ternak merupakan tugas yang berat, seseorang tidak hanya harus menghentikan hewan mana pun agar tidak tersesat tetapi mereka juga harus dilindungi oleh siapa pun yang akan memangsa mereka. Hal ini membuat [NAME] menjadi sangat lincah.
539	Pelaut	[NAME] adalah seorang pelaut dan setiap tahun saat air pasang mendekat, [NAME] menampilkan kemampuan [ITS] dengan melawan puncak air pasang, yang menyenangkan para pejabat yang datang untuk menonton tidak ada ruginya. Sepanjang sisa tahun [NAME] harus berlatih keras untuk menjaga kondisi fisik [ITS] pada puncaknya agar tidak kalah dengan gelombang musim semi tahun depan.
540	Geomancer	[NAME] adalah seorang geomancer terkenal yang telah membantu banyak pejabat dan bangsawan untuk menyelaraskan Feng Shui rumah mereka. Bahkan keluarga kekaisaran dinasti saat ini telah meminta nasihat [ITS].
541	Tuan Koki	[NAME] adalah master chef yang terkenal di seluruh negeri. Keahlian [NAME] di dapur sangat hebat dan bahkan dikatakan bahwa [NAME] pernah memasak untuk Dewa di alam mimpi.
542	Mandor	[NAME] adalah mandor istana kekaisaran dan sangat kompeten sehingga dia ditugaskan untuk membangun istana mewah untuk kaisar. Namun [NAME] cukup menuntut terhadap orang lain, dan sering memberikan hukuman yang berat kepada para pekerja hingga tingkat penyiksaan yang telah memakan banyak korban jiwa.
543	Arsitek	[NAME] menjadi seorang arsitek terkenal saat masih muda dan belajar seni arsitektur dari beberapa arsitek paling terkenal. \nSaat mempelajari kerajinan [ITS], [NAME] pernah bertanggung jawab atas desain dan konstruksi taman istana, dan dari sinilah [NAME] mulai mendapatkan ketenaran yang begitu besar.
544	Akrobat	[NAME] adalah pemain akrobat yang telah tampil bersama rombongan [ITS]. Bertahun-tahun menampilkan seni ini telah membuat [ENHIM] memiliki konsentrasi yang luar biasa sehingga bahkan dengan penonton yang banyak dan ramai, pertunjukannya akan tetap sempurna dan menakjubkan.
545	Penjinak ular	Pesona ular telah diturunkan dari keluarga [NAME] selama beberapa generasi. [NAME] memelihara seekor ular yang sangat berbisa sejak kecil dan mampu berkomunikasi secara dekat dengannya. [NAME] mengandalkan keterampilan ini untuk mencari nafkah dan bahkan harus bertahan dari perselisihan dengan teman sebayanya untuk terus melakukannya.
546	Pelaku Monyet	[NAME] adalah pemain yang melakukan berbagai trik dengan seekor monyet. Kesenian ini diwariskan kepada [ENHIM] oleh anggota keluarga [ITS] yang telah melakukannya secara turun-temurun. [NAME] dimulai ketika masih kecil dan telah membuat [ENHIM] gesit dan memberikan [ENHIM] kecakapan bela diri yang unggul. \nDalam satu pertunjukan, monyet [ITS] menyinggung bajingan setempat. [NAME] harus melawan sekelompok bajingan untuk menyelamatkan monyet tersebut. Ada satu mata yang hilang dalam prosesnya.
547	Pemilik penginapan	[NAME] mengelola sebuah penginapan di daerah perbatasan yang cukup sukses karena jalan penting yang dilaluinya. Sayangnya yang datang banyak dan beragam sehingga selalu ada kesulitan dalam pembuatannya. \nUntuk memperbaiki situasi ini, [NAME] menyewa sejumlah preman dan bahkan mempelajari beberapa cara untuk membela diri.
548	Murid Awam	Menghabiskan hidup dalam kemiskinan membuat [NAME] menderita dan menderita. [NAME] menjadi murid awam untuk menemukan sedikit kelonggaran mental dan mengubah seluruh hati [ITS] dalam proses menemukan kedamaian.
549	Pengemis	[NAME] dulunya adalah seorang arsitek dengan keluarga bahagia dan sedikit tabungan. Namun kemudian [NAME] menemukan perjudian dan itulah sebabnya semuanya hilang dan [NAME] berakhir menjadi pengemis.
550	Anak Hilang	[NAME] berasal dari keluarga terpelajar. Namun [NAME] menjadi bosan dengan jalur yang ditetapkan untuk [ENHIM] oleh keluarga [ITS]. Maka, [NAME] mulai diam-diam belajar seni bela diri dan meninggalkan rumah, menjadi anak hilang yang mengembara di negeri itu untuk berlatih seni bela diri.
551	Nyonya rumah	__NAMA__ adalah putri seorang jenderal, namun keluarga [ITS] hancur ketika ayah [ITS] terlibat dalam pemberontakan. \nKarena keindahan dan pesona [ITS], [NAME] dapat hidup sebagai nyonya rumah dan tidak perlu melakukan sesuatu seperti menawarkan layanan seksual kepada pelanggan. Namun, gaya hidup seperti ini membuat [ENHIM] merasa putus asa.
552	Aktor	[NAME] terpilih menjadi aktor karena ketampanan dan pesonanya. Ketika ketenaran [ITS] semakin meningkat, [NAME] dapat tampil untuk para pejabat di rumah mereka. Ini memberi [ENHIM] contoh kehidupan lain. [NAME] mulai mendambakan keuntungan materi dengan impian menjadi kaya dan meninggalkan dunia akting.
553	Pelacur	[NAME] dijual saat masih muda untuk melunasi hutang dan akhirnya menjual jenazah [ITS]. \nBertahun-tahun dalam pekerjaan ini memungkinkan [ENHIM] melihat sisi gelap kemanusiaan. Namun jauh di lubuk hati [NAME] masih percaya akan masa depan.
554	Penjaga Lebah	[NAME] adalah pemelihara lebah yang ekstrover dan pandai berbasa-basi. Yang satu ini mampu meyakinkan banyak orang hanya dengan kata-kata bahwa madu [ITS] lebih sehat dibandingkan madu lainnya sehingga bisa memperpanjang umur. Banyak pula yang berziarah hanya untuk membeli madu [ITS].
555	Penari	[NAME] adalah seorang penari dan tulang punggung grup [ITS]. [IT] memiliki masa lalu yang menyedihkan sehingga grup ini seperti wadah tempat [NAME] menuangkan emosi [ITS], membantu [ENHIM] mengatasi masa lalu [ITS].
556	Pilot Kapal	[NAME] tidak pernah bersekolah, namun akhirnya bisa mendapatkan pekerjaan sebagai pilot kapal. Karena [NAME] tidak pernah cerdas, maka yang satu ini selalu diejek oleh orang lain, tetapi tidak pernah menyadari fakta bahwa dia sedang diejek.
557	Akuntan	[NAME] mengelola akun untuk sebuah perusahaan besar. Melacak fluktuasi aliran uang yang begitu banyak merupakan tugas yang berat. Terlebih lagi jika kita memperhitungkan semua permintaan dan tuntutan yang juga harus diperhitungkan.
558	Penjaga	[NAME] diberi pekerjaan sebagai penjaga sebagai ucapan terima kasih karena telah menyelamatkan nyawa. [NAME] melakukan segala upaya dan sering tetap berpatroli sepanjang malam. \nPada suatu waktu saat krisis, [NAME] membuat majikan [ITS] tidak menerima luka tusuk yang fatal, namun organ [ITS] mengalami kerusakan dalam prosesnya dan pemulihannya berjalan lambat.
559	Pelayan	Kakek [NAME] adalah pengurus perdana menteri saat ini. Setelah kakek [ITS] meninggal, [NAME] mengambil alih jabatan tersebut. \n[NAME] tidak bisa menghindari semua rahasia gelap yang tersembunyi di latar belakang. Rahasia-rahasia ini dengan cepat menggerogoti [ENHIM], mengubah [NAME] menjadi dingin dan tidak berperasaan.
560	Tuan Pembuat Permen	[NAME] adalah ahli pembuat permen tingkat tinggi. Tangan terampil [NAME] dapat mengambil permen dan membentuknya menjadi bentuk apa pun. \n[NAME] karya seni disukai oleh anak-anak dan [NAME] sangat menyukai kerajinan tersebut.
561	Penebang	[NAME] adalah seorang penebang pohon. Ada banyak pembangunan di dekat istana dalam beberapa tahun terakhir dan [NAME] telah melakukan yang terbaik untuk mengimbanginya. \nSaat membuka hutan satu kali, penduduk setempat menjadi marah dan [NAME] berakhir dengan patah kaki ketika semua sudah selesai.
562	Buruh tambang	[NAME] menjual dirinya sebagai penambang. Menghabiskan waktu seharian di tambang membuat [NAME] terbiasa hidup dalam kegelapan. Kerja keras juga memberi [ENHIM] fisik yang kuat.
563	Pengawas Tambang	[NAME] adalah anak dari cabang sebuah keluarga besar dan dikirim untuk mengawasi salah satu tambang keluarga tersebut. [NAME] mengutuk nasib [ITS] dan rencana keluarga [ITS] serta melampiaskan amarah [ITS] kepada para pekerja. Hal ini membuat [ENHIM] kejam dan kejam.
564	Penyihir	[NAME] mengaku mampu merasakan sinyal yang tak terlihat namun misterius yang dapat digunakan untuk menghindari kejahatan. [NAME] telah menghabiskan beberapa tahun menjadi penyihir yang cukup terkenal.
565	Pembuat Keajaiban	[NAME] mendapat mimpi aneh dimana dewa memilih [ENHIM] untuk mewakili dewa. \nAwalnya, karena [NAME] tidak memiliki keterampilan, jadi yang ini panik, tetapi seiring berjalannya waktu, [NAME] mulai dapat membaca pesan dari apa pun yang tampaknya tidak ada dan akhirnya membiarkan kekuatan [ITS] berpindah ke kepala [ITS].
566	Petugas Kuil	[NAME] adalah petugas kuil yang rendah hati dan toleran terhadap masyarakat. Selama bertahun-tahun, [NAME] telah menjalankan kuil, dan selama itu kuil ini telah mendapatkan dukungan dan cinta masyarakat.
567	Biksu Liar	[NAME] adalah seorang biksu dari kuil Tao yang tidak disebutkan namanya. [NAME] tidak memiliki orang tua dan tidak memiliki keterampilan tambahan, jadi [NAME] menghabiskan sepanjang hari membaca buku-buku Tao dan berlatih namun sepertinya belum berhasil. [NAME] membantu dalam pernikahan, pemakaman dan upacara lainnya hampir setiap hari untuk mencari nafkah.
568	Pendekar Pedang	[NAME] adalah seorang pendekar pedang yang tidak pernah bergerak tanpa mengenakan topeng, akibatnya tidak ada yang mengetahui identitas sebenarnya [ITS]. \n[NAME] keahlian pedangnya sangat bagus dan gerakan [ITS] seperti kilat. Dikatakan bahwa tidak seorang pun dapat menangkap bayangan [ITS] ketika [NAME] menyerang.
569	Prajurit Bepergian	[NAME] adalah pejuang keliling yang mencuri dari orang kaya dan memberikannya kepada orang miskin. Untuk menghindari pejabat yang akan memburu [ENHIM], [IT] tinggal di hutan belantara dan tidak memiliki tempat untuk pulang.
570	Pembunuh	[NAME] hidup dalam kemiskinan ekstrem saat tumbuh dewasa, yang menyebabkan [ENHIM] harus belajar menyembunyikan emosi [ITS] dan mengembangkan kesabaran yang luar biasa. Akibatnya, sebuah organisasi akhirnya menemukan [ENHIM] dan melatih [ENHIM] untuk menjadi seorang pembunuh. \n[IT] adalah pembuat peti mati sebagai kedok, tapi diam-diam [IT] hanya menunggu perintah agar [ENHIM] mengetahui identitas target berikutnya.
571	Saudara Darah	[NAME] adalah seorang preman yang sangat galak dalam pertarungan dan tidak takut mati. Saat berkelahi sekali, [NAME] terluka parah. Namun [NAME] ditemukan oleh seorang petugas polisi yang lewat dan diam-diam diselamatkan dan akhirnya menjadi saudara sedarah dengan petugas tersebut.
572	Pemanah silang	[NAME] adalah penembak jitu elit di penjaga istana. Latihan bertahun-tahun dengan panah otomatis telah membuat [ENHIM] terlihat seperti elang dan menghabiskan begitu banyak waktu dalam pertempuran telah membuat [ENHIM] memiliki watak yang tenang bahkan dalam menghadapi bahaya.
573	Penembak jitu	[NAME] adalah seorang pemburu yang mahir memanah. [NAME] dapat menabrak rusa yang melarikan diri dengan kecepatan lebih dari seratus langkah. \nKetika pemberontak bangkit, [NAME] bergabung dengan tentara dan mendapatkan reputasi yang hebat berkat kemampuan [ITS] dengan busur dan terpilih untuk bergabung dengan penjaga istana.
574	Pramuka	[NAME] memiliki obsesi dengan berkuda dan memiliki hasrat untuk berlari kencang dengan menunggang kuda. \n[NAME] kepiawaiannya dalam menunggang kuda menarik perhatian orang-orang di perkemahan militer terdekat. Mereka berjanji kepada [NAME] bahwa jika orang ini bergabung dan menjalani pelatihan pramuka, mereka akan memberikan [ENHIM] seekor kuda terbaik untuk ditunggangi. [NAME] memanfaatkan kesempatan itu.
575	Ahli obat	[NAME] suka meneliti semua jenis tanaman. [IT] dapat memberi tahu Anda khasiat obat apa saja yang dimiliki tanaman apa pun di hutan tanpa ragu sedikit pun. [IT] memutuskan bahwa menjadi apoteker akan menjadi cara terbaik untuk memanfaatkan karunia ini.
576	Penjaga Hutan	Desa [NAME] dibangun dengan membelakangi gunung besar. Hutan pegunungan ibarat tempat berlindung bagi umatnya, sekaligus gudang segala sandang dan pangan mereka. \n[NAME] bergabung dengan penjaga hutan desa agar bisa melindungi hutan.
577	Makelar	[NAME] berhati hangat dan terhubung dengan baik. [NAME] mahir dalam mengelola hubungan, itulah yang memungkinkan [ENHIM] menjadi broker yang hebat. \nSetelah beberapa kali naik turun, [NAME] mengumpulkan sejumlah besar kekayaan di usia tiga puluhan [ITS] dan mencapai kondisi pikiran yang unik.
578	Bos Rumah Judi	[NAME] dimulai sejak awal di dunia bawah, namun upaya yang signifikan dan cukup banyak orang yang terinjak memberikan banyak imbalan. \n[NAME] sekarang menjalankan sejumlah rumah judi besar. Kekuatan [NAME] dihormati di seluruh wilayah.
579	Penjaga Cacing	[NAME] aslinya berasal dari kota kecil di perbatasan selatan. Suatu kali [NAME] ditawan dalam serangan barbar. \nOrang-orang barbar memaksa [ENHIM] untuk melakukan tugas berbahaya memelihara cacing. Dalam pekerjaan ini, sangat mudah untuk meninggal karena infeksi. \nSituasi genting dan kematian menyedihkan sesama pemelihara cacing memberikan mimpi buruk bagi [ENHIM].
580	Orang kasim	Untuk keluar dari kemiskinan, [NAME] menyerahkan kejantanannya dan masuk istana untuk menjadi kasim. [NAME] mendambakan kekuasaan dan akhirnya maju di dunia ketika menjadi seorang kasim penting. \nTetapi, setiap kali [NAME] mengingat sakitnya pengebirian, dia benar-benar menyesalinya.
581	Tuan Tanah Kecil	[NAME] memperoleh lebih dari sekadar uang receh dengan berbisnis, namun [NAME] pada dasarnya malas dan bosan dengan pasar. Yang ini hanya ingin perut kenyang, tidak peduli berapa waktu yang dihabiskan. \nSetelah itu, [NAME] kembali ke rumah dan membeli sebidang tanah dan menjadi tuan tanah kecil.
582	Pengawal Pria	[NAME] adalah seorang pengamat sejak ia dilahirkan. [NAME] berhasil menarik perhatian adik perempuan kaisar dan akhirnya menjadi pendampingnya. \nMenggunakan ketampanan [ITS], [NAME] berhasil mendapatkan bantuan untuk keluarga [ITS], yang membuat pengawal lainnya merasa iri dan benci [ENHIM]. [NAME] akhirnya dijebak dan kehilangan status seperti hewan peliharaan [ITS].
583	Mengintai	[NAME] menjalankan toko kelontong di ibu kota. [NAME] tampak seperti orang biasa yang polos dan tidak pandai berbicara. \nNamun, [NAME] adalah mata-mata negara musuh yang memasuki ibu kota untuk mengikuti tren terkini di istana.
584	Maling	[NAME] mencuri untuk mencari nafkah, namun tidak pandai dalam hal itu dan sering tertangkap basah. \nAkibatnya, [NAME] sering dipukuli sehingga luka yang diterimanya membuat pencurian menjadi lebih sulit. Itu adalah lingkaran setan.
585	Pencopet	[NAME] memiliki kepekaan yang luar biasa terhadap siapa yang punya uang dan siapa yang tidak, serta di mana mereka menyimpannya. Hal ini membuat [NAME] dapat dengan mudah mengenali orang-orang yang lengah sehingga dapat mengetahui isi kantongnya.
586	Dermawan	[NAME] adalah seorang dermawan yang cukup terkenal di wilayah ini sebagai orang yang baik hati, berjiwa sosial, dan dermawan. \n[NAME] mempunyai visi yang besar terhadap bumi, sayangnya tubuh [ITS] lemah dan tidak mampu mewujudkan visi tersebut. Oleh karena itu, [NAME] senang membantu mereka yang kurang beruntung.
587	Sarjana yang sudah lewat	[NAME] ingin meraih prestasi melalui ujian kekaisaran, hanya saja yang ini tidak dapat naik setelah lulus ujian di tingkat kabupaten. Mencoba berulang-ulang kali membuahkan hasil ketika [NAME] mengitari saluran pembuangan.
588	Petugas Makanan Istana	__NAMA__ adalah petugas makanan di istana yang bertanggung jawab mencicipi makanan setiap hari untuk mengetahui apakah makanan tersebut cukup untuk kaisar. \nKarena jenis pekerjaan ini sebenarnya membuka mulut untuk mencari nafkah, akibatnya [NAME] menjadi malas dan dekaden.
589	Pelari Yamen	[NAME] adalah petugas yamen untuk kantor administrasi yang bertanggung jawab mengawasi penjara dan mengeksekusi tahanan sesuai kebutuhan. \n[NAME] menyukai perasaan mengalahkan orang dengan pentungan, itu benar-benar membuat orang ini merasa beruntung dalam hidup.
590	Penari Singa	[NAME] meninggalkan kampung halaman [ITS] yang tandus untuk mencari nafkah dan akhirnya bergabung dengan rombongan pertunjukan yang berkeliling. \nKarena [NAME] gesit dan memperlakukan orang dengan baik, maka pemimpin rombongan mempercayakan [ENHIM] dengan barongsai dan [NAME] menerima banyak penghargaan.
591	Pendeta Tao	Tubuh [NAME] lemah sejak usia muda, jadi orang ini tinggal di kuil Tao di mana orang bisa merawat tubuhnya. Menghabiskan waktu yang lama untuk mengenal ajaran Tao menanamkan minat yang mendalam pada Taoisme di [ENHIM] dan [NAME] akhirnya menjadi Pendeta Tao.
592	Biarawan	Kemunduran emosi yang serius membuat hati [NAME] menjadi abu. Untuk menghindari rasa sakit dan kekhawatiran yang disebabkan oleh dunia ini, [NAME] menjadi seorang biksu.
593	Kepala Biara Kuil Tao	[NAME] adalah kepala biara di sebuah kuil Tao kecil. Selain menyanyi dan berlatih setiap hari, [NAME] menggunakan kemampuan medis yang dipelajari untuk membantu orang-orang yang tinggal di dekatnya. \nOleh karena itu, candi [ITS] bukanlah yang terbesar, namun reputasinya sangat luas.
