ID	Name	Desc	sParam1	sParam2
10084	Kembali dari Dunia Lain	Beberapa hari yang lalu, sekelompok pedagang di serikat pekerja menghilang saat menjelajahi Otherworld Rift. Ketika semua orang mengira mereka akan pergi untuk selamanya, Celah Dunia Lain terbuka lagi dan semua pedagang kembali dengan selamat, bahkan membawa banyak barang aneh dari Dunia Lain.\nNamun, sejumlah besar benda Dunia Lain telah membawa Pengakuan Iman Surga dari Dunia Lain. Di bawah pengaruh cara surga di Dunia Lain, beberapa perubahan sementara telah terjadi pada cara surgawi di dunia ini juga. Bahkan Naga Obor, perwujudan Aturan Yin dan Yang, menjadi sedikit aneh...		
10085	Beruang yang Terbangun			"Di [TXT], seekor beruang menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10086	Kelinci yang Terbangun			"Di [TXT], seekor kelinci menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10087	Ayam yang Bangkit			"Di [TXT], seekor ayam menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10088	Serigala yang Terbangun			"Di [TXT], seekor serigala menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10089	Ular yang Terbangun			"Di [TXT], seekor ular menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10090	Babi Hutan yang Terbangun			"Di [TXT], seekor babi hutan menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10091	Katak yang Terbangun			"Di [TXT], seekor katak menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10092	Penyu yang Terbangun			"Di [TXT], seekor kura-kura menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10093	Kucing yang Terbangun			"Di [TXT], seekor kucing menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10094	Harimau yang Bangkit			"Di [TXT], seekor harimau menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10095	Banteng yang Terbangun			"Di [TXT], seekor banteng menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10096	Pencerahan Guru	Diberkati oleh keberuntungan, [NAME] menerima pencerahan dari [TNAME] di [TIME], dan dengan demikian telah menjadi Roh Hidup.		
10097	Dunia Hidup	Diberkati oleh keberuntungan, [NAME] memperoleh energi langit dan bumi di [WEATHER], membangkitkan kesadaran diri dan menjadi Roh yang Hidup.		
10098	Energi Kebangkitan	Diberkati oleh keberuntungan, setelah menghabiskan waktu bertahun-tahun di sisi [TNAME], [NAME] secara tidak sengaja membangkitkan kesadaran diri dan menjadi Roh yang Hidup, karena energi yang terkumpul dari mendengarkan kata-kata bijak.		
10099	Beruang yang Terbangun			"Di [TXT], karena suatu alasan, seekor beruang secara tidak sengaja merasakan ""[FRAG]"" beberapa kali, sehingga terbangun."
10100	Kelinci yang Terbangun			"Di [TXT], entah kenapa, seekor kelinci secara tidak sengaja merasakan ""[FRAG]"" beberapa kali, sehingga terbangun."
10101	Ayam yang Bangkit			"Di [TXT], entah kenapa, seekor ayam secara tidak sengaja merasakan ""[FRAG]"" beberapa kali, sehingga terbangun."
10102	Serigala yang Terbangun			"Di [TXT], entah kenapa, seekor serigala secara tidak sengaja merasakan ""[FRAG]"" beberapa kali, dan sebagai hasilnya ia terbangun."
10103	Ular yang Terbangun			"Di [TXT], seekor ular menyadari ""[FRAG]"" secara kebetulan, dan kemudian terbangun."
10104	Babi Hutan yang Terbangun			"Di [TXT], entah kenapa, seekor babi hutan secara tidak sengaja merasakan ""[FRAG]"" beberapa kali, sehingga terbangun."
10105	Katak yang Terbangun			"Di [TXT], entah kenapa, seekor katak secara tidak sengaja merasakan ""[FRAG]"" beberapa kali, sehingga terbangun."
10106	Penyu yang Terbangun			"Di [TXT], karena suatu alasan, seekor kura-kura secara tidak sengaja merasakan ""[FRAG]"" beberapa kali, dan akibatnya ia terbangun."
10107	Kucing yang Terbangun			"Di [TXT], entah kenapa, seekor kucing secara tidak sengaja merasakan ""[FRAG]"" beberapa kali, sehingga terbangun."
10108	Harimau yang Bangkit			"Di [TXT], entah kenapa, seekor harimau secara tidak sengaja merasakan ""[FRAG]"" beberapa kali, dan akibatnya ia terbangun."
10109	Banteng yang Terbangun			"Di [TXT], entah kenapa, seekor banteng secara tidak sengaja merasakan ""[FRAG]"" beberapa kali, dan akibatnya terbangun."
10110	Beruang yang Terbangun			"Seekor beruang ""[FRAG]"" beberapa kali di [TXT], lalu tiba-tiba mendapat Pencerahan dan terbangun."
10111	Kelinci yang Terbangun			"Seekor kelinci ""[FRAG]"" beberapa kali di [TXT], lalu tiba-tiba mendapat Pencerahan dan terbangun."
10112	Ayam yang Bangkit			"Seekor ayam ""[FRAG]"" beberapa kali di [TXT], lalu tiba-tiba mendapat Pencerahan dan terbangun."
10113	Serigala yang Terbangun			"Setelah ""[FRAG]"" beberapa kali, seekor serigala tiba-tiba mendapat Pencerahan dan terbangun di [TXT]."
10114	Ular yang Terbangun			"Setelah ""[FRAG]"" beberapa kali, seekor ular tiba-tiba mendapat Pencerahan dan terbangun di [TXT]."
10115	Babi Hutan yang Terbangun			"Setelah ""[FRAG]"" beberapa kali, seekor babi hutan tiba-tiba mendapat Pencerahan dan terbangun di [TXT]."
10116	Katak yang Terbangun			"Setelah ""[FRAG]"" beberapa kali, seekor katak tiba-tiba mendapat Pencerahan dan terbangun di [TXT]."
10117	Penyu yang Terbangun			"Setelah ""[FRAG]"" beberapa kali, seekor kura-kura tiba-tiba mendapat Pencerahan dan terbangun di [TXT]."
10118	Kucing yang Terbangun			"Setelah ""[FRAG]"" beberapa kali, seekor kucing tiba-tiba mendapatkan Pencerahan dan terbangun di [TXT]."
10119	Harimau yang Bangkit			"Setelah ""[FRAG]"" beberapa kali, seekor harimau tiba-tiba mendapat Pencerahan dan terbangun di [TXT]."
10120	Banteng yang Terbangun			"Setelah ""[FRAG]"" beberapa kali, seekor banteng tiba-tiba mendapat Pencerahan dan terbangun di [TXT]."
10121	Mundurnya Musuh	Gelombang makhluk bermusuhan bermaksud menyerang Anda. Namun setelah mempertimbangkan dengan cermat reputasi sekte Anda di dunia kultivasi, mereka akhirnya memutuskan untuk menyerah.		
10122	Kenaikan	[NAME] telah melewati semua kesulitan dan akhirnya terlupakan dengan tubuh fana, naik melampaui alam ini dan tidak meninggalkan apa pun kecuali legenda untuk diceritakan kepada generasi mendatang.\nSebuah puisi sebagai bukti:\n[color=#D06508]Dari kekacauan yang terurut di alam semesta, manusia pertama lahir. Kesatuan muncul sebelum dualitas, dan Empat Simbol menjaga bumi.\nSang dewi memberi kehidupan pada semua ciptaan dari tanah liat, sementara Yang Maha Cerah melukiskan gambaran yang memisahkan Yin dan Yang.\nSeratus tahun penanaman berlalu sementara para prajurit bertempur dalam pertempuran yang tak terhitung jumlahnya. Seribu tahun lagi hanyalah sekejap mata dalam meditasi.\nSaya tidak akan berkata apa-apa lagi karena Kesengsaraan Surgawi datang untuk membawa saya pergi. Semua masalah duniawi akan hilang bersama angin setelah saya meninggalkan alam eksistensi ini.[/color]		
10127	Keberuntungan yang Terkonvergensi	Setelah menaklukkan semua sekte dengan kekuatan tak tertandingi, sekte Anda telah mengumpulkan semua kekayaan dari alam penggarap, dan Mini Universe Anda mulai memancarkan cahaya aneh dan redup.		
10128	Keberuntungan yang Terkonvergensi	Hanya dalam beberapa tahun, sudah ada 50 murid yang naik keabadian di sekte Anda. Oleh karena itu, keberuntungan ilahi yang besar telah berkumpul di sini, dan Mini Universe Anda mulai memancarkan cahaya redup yang aneh.		
10129	Keberuntungan yang Terkonvergensi	Setelah banyak kesulitan, seorang kultivator Inti Emas di sekte Anda telah selamat dari sembilan Kesengsaraan Surgawi, menarik keberuntungan ilahi untuk berkumpul di sini, dan dengan demikian Mini Universe Anda mulai memancarkan cahaya aneh dan redup.		
10130	Keberuntungan yang Terkonvergensi	Seiring berjalannya waktu, sekte Anda telah didirikan di sini selama beberapa dekade, secara bertahap menyatu dengan lingkungan dan menyerap kekayaan, dan dengan demikian Mini Universe Anda mulai memancarkan cahaya yang aneh dan redup.		
10131	Keberuntungan yang Terkonvergensi	Untuk mengungkap kebenaran kehancuran Sekte Taiyi, Anda secara tak terduga telah mengungkap rahasia paling kuno di dunia setelah penyelidikan yang cermat, di mana keberuntungan ilahi yang besar telah berkumpul di sini, dan dengan demikian Mini Universe Anda mulai memancarkan cahaya yang aneh dan redup.		
10132	Keberuntungan yang Terkonvergensi	Kepercayaan surga telah berubah drastis, dan Mini Universe Anda mulai memancarkan cahaya redup yang aneh.		
10133	Waktunya telah tiba	Mini Universe tiba-tiba bergetar aneh. Anda mengingatkan pengaturannya dengan Fu Bikong dan inilah waktunya.		
10123	Pedagang Dunia Lain	[NAME] dari Traveling Merchant Guild diteleportasi ke sini melalui Otherworld Rift.		
10124	Keretakan Dunia Lain	Segerombolan binatang buas diteleportasi ke sini melalui Otherworld Rift.		
10125	Keretakan Dunia Lain	Beberapa monster diteleportasi ke sini melalui Otherworld Rift.		
10126	Keretakan Dunia Lain	Sekelompok musuh diteleportasi ke sini melalui Otherworld Rift.		
30001	Invasi Binatang Buas	Beberapa binatang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
30002	Invasi Binatang Buas	Beberapa binatang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
30003	Invasi Binatang Buas	Beberapa binatang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
30004	Menyerang	Beberapa pembunuh misterius diperintahkan untuk menyerang sekte Anda.		
30005	Menyerang	Beberapa pembunuh misterius diperintahkan untuk menyerang sekte Anda.		
30006	Menyerang	Beberapa pembunuh misterius diperintahkan untuk menyerang sekte Anda.		
30008	Malam Kutub	Gangguan pada Stela Yin Yang menyebabkan energi Yin meluap. Akibatnya, matahari menolak terbit.		
30009	Gelombang Panas	Fiery Chasm menjadi tidak stabil, mengakibatkan suhu tinggi yang tidak normal.		
30010	Udara Dingin	Tungku Beku menjadi tidak stabil, mengakibatkan suhu rendah secara tidak normal.		
30012	Hujan badai	Hujan badai lebat telah dimulai, dan Elemen Air di seluruh langit dan bumi sangat aktif.		
30013	Angin Foehn	Angin foehn yang kering dan hangat telah mulai, dan Elemen Api di seluruh langit dan bumi sangat aktif.		
30014	Badai Debu	Badai debu menyapu seluruh daratan, dan Elemen Tanah di seluruh langit dan bumi sangat aktif.		
30015	Kekeringan Qi	Untuk alasan yang tidak diketahui, ini adalah musim kekeringan Qi di seluruh dunia.		
30018	Malam Kutub	Awan aneh menutupi matahari. Butuh beberapa waktu hingga Anda dapat melihat sinar matahari lagi.		
30019	Racun	Udara berbahaya meningkat di seluruh area, dan Elemen Kayu di seluruh langit dan bumi sangat aktif.		
30020	Hujan badai	Badai petir akan datang, dan Elemen Logam di seluruh langit dan bumi sangat aktif.		
30021	Menyerang	Beberapa pembunuh misterius diperintahkan untuk menyerang sekte Anda.		
30022	Hujan badai	Menjawab keresahan Gua Misterius, badai petir melanda.		
30028	Pengungsi yang lewat	Seorang pengungsi yang melarikan diri dari perang sedang lewat, dan [IT] ingin bergabung dengan Anda.		
30043	Orang Asing yang Bingung	Ada orang asing yang tersesat di sekitar sini, dan berharap kami dapat membantu mereka.	Confused Stranger	
30044	Orang Asing yang Penasaran	Orang asing yang penasaran menemukan tempat ini secara tidak sengaja, dan [IT] ingin tahu apa sebenarnya yang kami lakukan.	Curious Stranger	
30045	Orang Asing yang Terluka	Ada orang asing yang terluka, dan [IT] ingin tinggal di sini sebentar dan meminta bantuan kami.	Injured Stranger	
30083	Semburan Qi	Untuk alasan yang tidak diketahui, Qi di langit dan bumi tiba-tiba mulai meledak. Beberapa tanaman terpengaruh dan menjadi Spiritwood.		
30111	Badai Debu	Karena pengaruh Kuil Ibu Pertiwi, badai debu telah terjadi.		
30112	Invasi Binatang Buas	Kuil Ibu Pertiwi telah menyerap sebagian nutrisi dari tanah, membuat marah sekelompok monster. Mereka menjadi bermusuhan!		
30113	Invasi Binatang Buas	Beberapa binatang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
30114	Invasi Binatang Buas	Beberapa binatang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
30115	Invasi Binatang Buas	Beberapa binatang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
30116	Invasi Binatang Buas	Beberapa binatang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
30117	Altar Gema Surga	Kristalisasi Batu Roh Selesai!		
50001	Sisa-sisa Apokaliptik	Tiba-tiba terdengar suara keras, beberapa berkas cahaya terbang dari cakrawala dan mendarat di dekatnya, tidak yakin dengan sifatnya.		
50002	Invasi Binatang Buas	Beberapa binatang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
50003	Menyerang	Beberapa pembunuh misterius diperintahkan untuk menyerang sekte Anda.		
50004	Orang Asing yang Bingung	Ada orang asing yang tersesat di sekitar sini, dan berharap kami dapat membantu mereka.	Confused Stranger	
50005	Pengunjung Abadi	Seorang teman abadi Anda sedang mengunjungi sekte Anda, dan dia mungkin ingin tinggal selama beberapa hari.	Immortal Visitor	
50006	Roh Hidup Lewat	[NAME] makhluk hidup telah muncul di dekat sini, dan dipenuhi dengan rasa ingin tahu.		
50007	Permohonan Perlindungan	Yaoguai yang baru saja berubah bentuk mencari perlindunganmu, berharap bisa selamat dari Kesengsaraan Surgawi Perubahan Bentuk dengan bantuanmu.		
